CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO_IES,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,MATRICULADOS_2018
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",11,BOGOTÁ D.C,11001,"BOGOTÁ, D.C.",1,Hombre,2018,1,1129
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",11,BOGOTÁ D.C,11001,"BOGOTÁ, D.C.",2,Mujer,2018,1,181
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",13,BOLÍVAR,13001,CARTAGENA,1,Hombre,2018,1,271
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",13,BOLÍVAR,13001,CARTAGENA,2,Mujer,2018,1,66
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",15,BOYACÁ,15001,TUNJA,1,Hombre,2018,1,80
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",15,BOYACÁ,15001,TUNJA,2,Mujer,2018,1,9
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",15,BOYACÁ,15759,SOGAMOSO,1,Hombre,2018,1,80
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",15,BOYACÁ,15759,SOGAMOSO,2,Mujer,2018,1,25
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",17,CALDAS,17001,MANIZALES,1,Hombre,2018,1,123
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",17,CALDAS,17001,MANIZALES,2,Mujer,2018,1,29
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",18,CAQUETÁ,18001,FLORENCIA,1,Hombre,2018,1,11
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",18,CAQUETÁ,18001,FLORENCIA,2,Mujer,2018,1,2
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",19,CAUCA,19001,POPAYÁN,1,Hombre,2018,1,139
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",19,CAUCA,19001,POPAYÁN,2,Mujer,2018,1,31
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",20,CESAR,20001,VALLEDUPAR,1,Hombre,2018,1,230
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",20,CESAR,20001,VALLEDUPAR,2,Mujer,2018,1,56
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",20,CESAR,20011,AGUACHICA,1,Hombre,2018,1,104
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",20,CESAR,20011,AGUACHICA,2,Mujer,2018,1,31
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",23,CÓRDOBA,23001,MONTERÍA,1,Hombre,2018,1,117
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",23,CÓRDOBA,23001,MONTERÍA,2,Mujer,2018,1,35
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",25,CUNDINAMARCA,25175,CHÍA,1,Hombre,2018,1,14
